artist_name,track_name,release_date,genre
pennywise,bro hymn,1991,pop
michael jackson,who is it,1991,pop
jodeci,come & talk to me,1991,pop
my bloody valentine,to here knows when,1991,pop
my bloody valentine,only shallow,1991,pop
tony! toni! toné!,me and you,1991,pop
michael learns to rock,the actor,1991,pop
nofx,the moron brothers,1991,pop
the smashing pumpkins,snail,1991,pop
paula abdul,the promise of a new day,1991,pop
matthew sweet,divine intervention,1991,pop
modern talking,geronimo's cadillac,1991,pop
r.e.m.,half a world away,1991,pop
ned's atomic dustbin,grey cell green,1991,pop
sinéad o'connor,silent night,1991,pop
2pac,if my homie calls,1991,pop
slint,washer,1991,pop
alberto vazquez,significas todo para mi,1991,pop
the ocean blue,ballerina out of control,1991,pop
cher,love hurts,1991,pop
a tribe called quest,infamous date rape,1991,pop
the smashing pumpkins,tristessa,1991,pop
oingo boingo,goodbye-goodbye,1991,pop
frank ifield,i remember you,1991,pop
the sugarcubes,hit,1991,pop
彭家麗,從不喜歡孤單一個,1991,pop
my bloody valentine,come in alone,1991,pop
dj quik,pitch in ona party,1991,pop
crowded house,fall at your feet,1991,pop
simply red,something got me started,1991,pop
a tribe called quest,everything is fair,1991,pop
cher,save up all your tears,1991,pop
green day,going to pasalacqua,1991,pop
my bloody valentine,blown a wish,1991,pop
babyface,two occasions (live),1991,pop
billy j. kramer,bad to me,1991,pop
throwing muses,not too soon,1991,pop
r.e.m.,near wild heaven,1991,pop
slint,"good morning, captain",1991,pop
pale saints,kinky love,1991,pop
barenaked ladies,blame it on me,1992,pop
glenn frey,"part of me, part of you",1992,pop
saint etienne,spring,1992,pop
paul anka,it's time to cry,1992,pop
tori amos,crucify,1992,pop
social distortion,king of fools,1992,pop
timi yuro,smile,1992,pop
indigo girls,jonas & ezekial,1992,pop
they might be giants,i palindrome i,1992,pop
no doubt,move on,1992,pop
neil diamond,morningside,1992,pop
erasure,breath of life,1992,pop
kapena,don't say goodbye,1992,pop
green day,my generation,1992,pop
the lemonheads,rudderless,1992,pop
timi yuro,hurt,1992,pop
pavement,summer babe (winter version),1992,pop
4 non blondes,morphine & chocolate,1992,pop
gin blossoms,until i fall away,1992,pop
green day,one for the razorbacks,1992,pop
nofx,the longest line,1992,pop
r.e.m.,monty got a raw deal,1992,pop
annie lennox,cold,1992,pop
kapena,reggae train,1992,pop
green day,80,1992,pop
bad religion,the answer,1992,pop
the outfield,winning it all,1992,pop
m people,search for the hero,1992,pop
gin blossoms,29,1992,pop
paul anka,don't ever leave me,1992,pop
phish,tweezer,1992,pop
stone temple pilots,naked sunday,1992,pop
