track_name,track_artist,lyrics,track_album_release_date
Let's Get Lifted,John Legend,"I've got something new for you When it hits you won't know what to do Relax let me move you Don't resist it's in the air Just one taste will take you there Let it flow right through you I know your getting tired of the same old thing But I'm gon' break the rules gonna change the game You'll be screaming my name And I'm gonna take you places that you've never seen You couldn't picture this in your wildest dreams Don't fear cause you're here with me Let's get lifted (Lifted) Ohh I'm gonna get you high I'm really gonna blow your mind We'll get lifted (Lifted) Your gonna feel it in your soul And baby you will lose control We'll get lifted (High) And once you take a hit of this You won't ever wanna quit You'll be so addicted Then I'll have you spinning round and round Crazy making freaky sounds You won't want to come down And then I'll have you seeing things and hallucinating Even walking funny 'cause your legs are shaking All night we'll be blazin' I'll take you for a walk to the other side We can get high and enjoy the ride Hold tight and we'll be alright We'll get lifted (Lifted) Ohh I'm gonna get you high I'm really gonna blow your mind We'll get lifted (Lifted) Your gonna feel it in your soul And baby you will lose control We'll get lifted (High) So come and go with me (So much I wanna show you I'll take you there high) Yeah I'll take you there come on let me take you there I will show you (So much I wanna show you I'll take you high, high) Yeah I'll take you there come on let me take you there I will show you (So much I wanna show you I'll take you high, high) Yeah I'll take you there come on let me take you there (So much I wanna show you I'll take you high, high)",2004
Club Foot,Kasabian,"One, take control of me? You're messing with the enemy Said it's two, it's another trick Messing with my mind, I wake up Chase down an empty street Blindly snap the broken beats Said it's gone, with the dirty trick It's taken all these days to find ya I tell you, I want you I tell you, I need you Friends, take control of me Stalking cross the gallery All these pills got to operate The colour quits and all invade us There it goes again Take me to the edge again All I got, is a dirty trick I'm chasing down all walls to save ya I tell you, I want you I'll tell you, I need you The blood ain't on my face Just wanted you near me I tell you, I want you I'll tell you, I need you The blood ain't on my hands Just wanted you near me",2004
Used to Love U,John Legend,"Holla, holla, hollaaaaa Holla, holla, hollaaaaa Maybe It's me, maybe I bore you No, no it's my fault cause I can't afford you Maybe Baby, Puffy, or Jay Z Would all be better for you Cause all I could do was love you Baby when I used to love you There's nuttin that I wouldn't do I went through the fire for you Anything you asked me to But I'm tired of living this lie It's getting harder to justify I realize that I just don't love you Not like I used to Holla, holla, hollaaaaa (yeaaahh) Holla, holla, hollaaaaa (yeah, yeah, uh, uh) Maybe I should rob somebody So we could live like Whitney and Bobby It's probably my fault My bad, My loss You are above cost All I could do was love you Baby when I used to love you There's nuttin that I wouldn't do I went through the fire for you Anything you asked me to But I'm tired of living this lie It's getting harder to justify I realize that I just don't love you Not like I used to Holla, holla, hollaaaaa (yeaaahh) Holla, holla, hollaaaaa (yeah, yeah, uh, uh) Oh! I used to (Do you remember when I used to) Love you (used to... Love you) Oh! But I don't - not you (baby no not any more... I don't love you) Love you (ooooh, used to ... love you) Oh! I used to love you (Ohhh used to love you) You're gonna miss me now... ohhh Baby when I used to love you There's nuttin that I wouldn't do I went through the fire for you But I am not gonna play the fool No i can't live this life And i can't justify And i can't make up my life I don't love you Not like i used to do Holla, holla, hollaaaaa (yeaaahh) Not like I used to Holla, holla, hollaaaaa (yeah, yeah, uh, uh) Not like I used to Oh! I used to (Do you remember when I used to) Love you (used to... Love you) Oh! But I don't - not you (baby no not any more... I don't love you) Oh! I used to love you Love you (ooooh, used to ... love you) Oh! But I don't - not you (baby no not any more... I don't love you) Oh! I used to love you You're gonna miss me now...cause I (Ohhh used to love you) Oh! But I don't - not you (baby no not any more... I don't love you) You're gonna miss me now...cause I Oh! But I don't - not you (baby no not any more... I don't love you) Holla, holla, hollaaaaa Holla, holla, hollaaaaa Maybe It's me, maybe I bore you No, no it's my fault cause I can't afford you Maybe Baby, Puffy, or Jay Z Would all be better for you Cause all I could do was love you Baby when I used to love you There's nuttin that I wouldn't do I went through the fire for you Anything you asked me to But I'm tired of living this lie It's getting harder to justify I realize that I just don't love you Not like I used to Holla, holla, hollaaaaa (yeaaahh) Holla, holla, hollaaaaa (yeah, yeah, uh, uh) Maybe I should rob somebody So we could live like Whitney and Bobby It's probably my fault My bad, My loss You are above cost All I could do was love you Baby when I used to love you There's nuttin that I wouldn't do I went through the fire for you Anything you asked me to But I'm tired of living this lie It's getting harder to justify I realize that I just don't love you Not like I used to Holla, holla, hollaaaaa (yeaaahh) Holla, holla, hollaaaaa (yeah, yeah, uh, uh) Oh! I used to (Do you remember when I used to) Love you (used to... Love you) Oh! But I don't - not you (baby no not any more... I don't love you) Love you (ooooh, used to ... love you) Oh! I used to love you (Ohhh used to love you) You're gonna miss me now... ohhh Baby when I used to love you There's nuttin that I wouldn't do I went through the fire for you But I am not gonna play the fool No i can't live this life And i can't justify And i can't make up my life I don't love you Not like i used to do Holla, holla, hollaaaaa (yeaaahh) Not like I used to Holla, holla, hollaaaaa (yeah, yeah, uh, uh) Not like I used to Oh! I used to (Do you remember when I used to) Love you (used to... Love you) Oh! But I don't - not you (baby no not any more... I don't love you) Oh! I used to love you Love you (ooooh, used to ... love you) Oh! But I don't - not you (baby no not any more... I don't love you) Oh! I used to love you You're gonna miss me now...cause I (Ohhh used to love you) Oh! But I don't - not you (baby no not any more... I don't love you) You're gonna miss me now...cause I Oh! But I don't - not you (baby no not any more... I don't love you)",2004
This Love - Acoustic,Maroon 5,"I was so high I did not recognize The fire burning in her eyes The chaos that controlled my mind Whispered goodbye as she got on a plane Never to return again But always in my heart This love has taken its toll on me She said goodbye too many times before And her heart is breaking in front of me And I have no choice, 'cause I won't say goodbye anymore I tried my best to feed her appetite Keep her coming every night So hard to keep her satisfied Keep playing love like it was just a game Pretending to feel the same Then turn around and leave again This love has taken its toll on me She said goodbye too many times before And her heart is breaking in front of me And I have no choice, 'cause I won't say goodbye anymore I'll fix these broken things Repair your broken wings And make sure everything's alright (It's alright, it's alright) My pressure on your hips Sinking my fingertips Into every inch of you 'Cause I know that's what you want me to do This love has taken its toll on me She said goodbye too many times before And her heart is breaking in front of me And I have no choice, 'cause I won't say goodbye anymore This love has taken its toll on me She said goodbye too many times before And my heart is breaking in front of me She said goodbye too many times before This love has taken its toll on me She said goodbye too many times before And her heart is breaking in front of me I have no choice, 'cause I won't say goodbye anymore",2004
Al Natural (feat. Yandel),Tego Calderon,"Letra de ""Al Natural"" Hey, llegó el de la cosa buena ¡Ja-ja! Alegria pa' tu cuerpo, sin macarena Mueve la parcela, nena Que lo que traigo es maizena ¡Ja-ja! Tú sabes como era Tú sabes que mi música te llega El Tego Calde' El Abayarde Oye, pa' que mange Yo lo que suelto es masucamba pa' la que se lamba Pa' que mis pollito mueva su nalga Con Luny tun-tun, El Abayarde le mete el sun-sun Pa' que en la disco muevan su pum-pum Yo lo que suelto es masucamba pa' la que se lamba Pa' que mis pollito mueva su nalga Con Luny tun-tun, El Abayarde le mete el sun-sun Pa' que en la disco muevan su pum-pum Vuelve El Abayarde, el negro Calde', easy Pa' las nenas y pa' las missy Dájate llevar que llego el niche de Boriquen bella Representando bien duro pa' las que están en la de ella Lo que nadie se esperaba, la clara Combinación perfecta pa' mis lindas caras Oye, traigo de todo a guaguancó sabe el coro Si no me quieres yo no me enfogono Yo lo que suelto es masucamba pa' la que se lamba Pa' que mis pollito mueva su nalga Con Luny tun-tun, El Abayarde le mete el sun-sun Pa' que en la disco muevan su pum-pum Yo lo que suelto es masucamba pa' la que se lamba Pa' que mis pollito mueva su nalga Con Luny tun-tun, El Abayarde le mete el sun-sun Pa' que en la disco muevan su pum-pum No te me ababaches mija Vamo' a darle lija a tu boquija Que llego el que las bocinas castiga El dueño de este masacote, a fuegote Que lo que traigo es chulería en pote Vamos con calma que lo que traigo sale del alma Y el que se pone bruto solito se enfanga Gózatelo con la ropa puesta Quedó tan asqueroso que hasta apesta, lo que hay es yerga Tropical pal mundo, si yo nose yo no abundo Oye pa' que mange que llego el cambumbo No te me pongas potrona, llego el del barrio Carola El area este, abusando aunque traigan cola Yo lo que suelto es masucamba pa' la que se lamba Pa' que mis pollito mueva su nalga Con Luny tun-tun, El Abayarde le mete el sun-sun Pa' que en la disco muevan su pum-pum Yo lo que suelto es masucamba pa' la que se lamba Pa' que mis pollito mueva su nalga Con Luny tun-tun, El Abayarde le mete el sun-sun Pa' que en la disco muevan su pum-pum Báilalo lento, no vinimo' a comer cuento Ando contento, pero sin el cargamento El Abayarde, nena no te me acobardes Vengo bien pesa'o esto en grande No se espanten, óiganlo pa' que lo manguen Y lo que me deban que me salden colaborando Por la herida los tengo sangrando Y es que Borinquen me esta apoyando Yo lo que suelto es masucamba pa' la que se lamba Pa' que mis pollito mueva su nalga Con Luny tun-tun, El Abayarde le mete el sun-sun Pa' que en la disco muevan su pum-pum Yo lo que suelto es masucamba pa' la que se lamba Pa' que mis pollito mueva su nalga Con Luny tun-tun, El Abayarde le mete el sun-sun Pa' que en la disco muevan su pum-pum Mami, yo quiero bailarte, pero al natural Como si te conociera de atrás Oye, yo lo que quiero es perriarte y mas na' Yo lo que quiero es ganarte, mamá Mami, yo quiero bailarte, pero al natural Como si te conociera de atrás Oye, yo lo que quiero es perriarte y mas na' Yo lo que quiero es ganarte, mamá Oye Este es Tego Calde' con Luny tun-tun! Matándolos con mi sun-sun! Je-je Yo creía que ellos sabían El Abayarde, el negro Calde' El Abayarde, el negro Calde' El Abayarde, el negro Calde' Letra de ""Al Natural"" Hey, llegó el de la cosa buena ¡Ja-ja! Alegria pa' tu cuerpo, sin macarena Mueve la parcela, nena Que lo que traigo es maizena ¡Ja-ja! Tú sabes como era Tú sabes que mi música te llega El Tego Calde' El Abayarde Oye, pa' que mange Yo lo que suelto es masucamba pa' la que se lamba Pa' que mis pollito mueva su nalga Con Luny tun-tun, El Abayarde le mete el sun-sun Pa' que en la disco muevan su pum-pum Yo lo que suelto es masucamba pa' la que se lamba Pa' que mis pollito mueva su nalga Con Luny tun-tun, El Abayarde le mete el sun-sun Pa' que en la disco muevan su pum-pum Vuelve El Abayarde, el negro Calde', easy Pa' las nenas y pa' las missy Dájate llevar que llego el niche de Boriquen bella Representando bien duro pa' las que están en la de ella Lo que nadie se esperaba, la clara Combinación perfecta pa' mis lindas caras Oye, traigo de todo a guaguancó sabe el coro Si no me quieres yo no me enfogono Yo lo que suelto es masucamba pa' la que se lamba Pa' que mis pollito mueva su nalga Con Luny tun-tun, El Abayarde le mete el sun-sun Pa' que en la disco muevan su pum-pum Yo lo que suelto es masucamba pa' la que se lamba Pa' que mis pollito mueva su nalga Con Luny tun-tun, El Abayarde le mete el sun-sun Pa' que en la disco muevan su pum-pum No te me ababaches mija Vamo' a darle lija a tu boquija Que llego el que las bocinas castiga El dueño de este masacote, a fuegote Que lo que traigo es chulería en pote Vamos con calma que lo que traigo sale del alma Y el que se pone bruto solito se enfanga Gózatelo con la ropa puesta Quedó tan asqueroso que hasta apesta, lo que hay es yerga Tropical pal mundo, si yo nose yo no abundo Oye pa' que mange que llego el cambumbo No te me pongas potrona, llego el del barrio Carola El area este, abusando aunque traigan cola Yo lo que suelto es masucamba pa' la que se lamba Pa' que mis pollito mueva su nalga Con Luny tun-tun, El Abayarde le mete el sun-sun Pa' que en la disco muevan su pum-pum Yo lo que suelto es masucamba pa' la que se lamba Pa' que mis pollito mueva su nalga Con Luny tun-tun, El Abayarde le mete el sun-sun Pa' que en la disco muevan su pum-pum Báilalo lento, no vinimo' a comer cuento Ando contento, pero sin el cargamento El Abayarde, nena no te me acobardes Vengo bien pesa'o esto en grande No se espanten, óiganlo pa' que lo manguen Y lo que me deban que me salden colaborando Por la herida los tengo sangrando Y es que Borinquen me esta apoyando Yo lo que suelto es masucamba pa' la que se lamba Pa' que mis pollito mueva su nalga Con Luny tun-tun, El Abayarde le mete el sun-sun Pa' que en la disco muevan su pum-pum Yo lo que suelto es masucamba pa' la que se lamba Pa' que mis pollito mueva su nalga Con Luny tun-tun, El Abayarde le mete el sun-sun Pa' que en la disco muevan su pum-pum Mami, yo quiero bailarte, pero al natural Como si te conociera de atrás Oye, yo lo que quiero es perriarte y mas na' Yo lo que quiero es ganarte, mamá Mami, yo quiero bailarte, pero al natural Como si te conociera de atrás Oye, yo lo que quiero es perriarte y mas na' Yo lo que quiero es ganarte, mamá Oye Este es Tego Calde' con Luny tun-tun! Matándolos con mi sun-sun! Je-je Yo creía que ellos sabían El Abayarde, el negro Calde' El Abayarde, el negro Calde' El Abayarde, el negro Calde'",2004
Sunday Morning - Acoustic,Maroon 5,"Yeah Sunday morning, rain is falling Steal some covers, share some skin (Like that) Clouds are shrouding us in moments unforgettable You twist to fit the mold that I am in But things just get so crazy, living life gets hard to do And I would gladly hit the road, get up and go if I knew That someday, it would lead me back to you That someday, it would lead me back to you (Someday) That may be all I need In darkness, she is all I see Come and rest your bones with me Driving slow on Sunday morning And I never want to leave Fingers trace your every outline Paint a picture with my hands Back and forth, we sway like branches in a storm Change the weather, still together when it ends That may be all I need In darkness, she is all I see Come and rest your bones with me Driving slow on Sunday morning And I never want to leave Oh yeah, but things just get so crazy, living life gets hard to do Sunday morning, rain is falling and I'm calling out to you Singing, someday it'll bring me back to you (Oh yeah, oh yeah) Find a way to bring myself back home to you And you may not know That may be all I need In darkness, she is all I see (You are all I see) Come and rest your bones with me Driving slow on Sunday morning Driving slow, ooh, yeah, yeah... It's a flower in your hair I'm a flower in your hair",2004
The Yes Yes Show,Parokya Ni Edgar,"(Chorus) You better get ready for a big surprise You think its almost over but it's only the rise Mental message via visual contact Louder than any other sexual soundtrack More margarita for my cute senorita Triple the tequila just to heighten up the flava Chuggin down on my JMB While checkin out the parts of my date's anatomy Forget the brains forget the personality What I'm after is your effect on my gravity like Trinity Flying high with her kicks and Controlling the game with my heavy duty joystick (Repeat Chorus) Flip the tip as we skip to the next trip Flashing some cash and some rock star bullshit Going in for the thrill moving in for the kill I got us a room in a fancy hotel and we got everything we need A big bag of money a bigger bag of weed And we try to impress as we start to undress Stop the press we need to get this (repeat chorus) I'd like to keep it going cause i got it going on But it's Vinci's turn on the microphone so... My name is Vinci and i am neat I love pretty girls and i love to eat I made this rap from my mind and i am very very kind I like to drive fast in fancy cars and chicks dig me like chocolate bars You say i'm bad but i am good so shut up now and eat some food Chito: I like to keep it going coz' I got it going on But it's Vinci's track on the microphone so Vinci: (ehem) My name is Vinci and I am neat I love pretty girls and I love to eat I made this rap from my mind And I am very very kind I like to drive fast in fancy cars And chicks dig me like chocolate bars They say I'm bad but I am good So shut up now and eat some food Chito: Tsong ano bang problema mo ayusin mo naman Lagyan mo naman ng tono para kang nangangatwiran Ano bang inaatupag mo sa bago mong apartment Sampung taon ka nang sikat wala ka pa rin bang talent Vinci:Tsong ano bang sinasabi mo Mali ang sinasabi mo Magaling akong kumanta Alam mo ba yung picha pie Chito: Kung sa bagay mahusay nga naman yung picha pie Gamit ang boses mong pamatay nilagyan mo ng kulay ang kanta Vinci: Diba kahit ikaw ang gumawa Alam nating mas okay nung ako yung kumanta Chito: Tsong naman please lang wag ka nang magyabang at Alam mo naman na pang-back-up ka lang at Ilan na ba ang talagang nagawa mong kanta ilan Vinci: Wala eh ano ngayon Band:Alam naman nating lahat Na si Vinc naman talaga dapat Ang vocalist ng parokya band Ng parokya ni edgar Chito: Teka lang one minute Pwede bang paki-ulit Maaaring may lamang ka sa paligo Subalit bakit mo naman nasabi na ikaw ang nararapat Eh ni isang kanta man lang wala kang naisulat Vinci: Eh bat ibang singers naman kahit di nila sinulat Ang kinakanta nilang kanta ay sobra kung sumikat Tulad ko at ni Quino at ni Benedict Aquino Na wala nga yatang mas-sisikat pa kahit na sino Chito: Ewan ko sandali wag ka ngang makulit Kung ayaw mong masipa sa mukha ng malupet Baka makatikim ka ng sasuwela de kamao Na si listo el de gato sa gulpihang de kontodo Vinci: Talaga hindi nga tatawa na ba ako Hindi porket koreano ka magaling kang mag-taekwando Wag kang mag-aangas sa lalaking may balbas Kami yung mga tipo na hindi umaatras Dindin: Sandali lang wag muna kayong maglaban Bago kayo magsuntukan Bat di nyo muna pag-usapan ang di maunawaan Sige na kiss na, peace na please Ang bayad mo sa jeepney kulang pa ng diyes Kung ayaw mong mangyari ang nagyari sa iba Matuto tayo kung paano magpakumbaba Wag nating kalimutan kung saan nagsimula... Band: Alam naman nating lahat Na mahal namin ang isa't-isa't Walang iwanan sa parokya band Sa parokya ni edgar Band: Band... Band... Chito: Ah di ko alam kung paano tatapusin yung kanta Kaya ganito nalang bigla nalang mawawala",2004
Panama - 2004 Remaster,Van Halen,"Jump back, what's that sound? Here she comes, full blast and top down Hot shoe, burnin' down the avenue Model citizen zero discipline Don't you know she's coming home with me? You'l lose her in the turn I'll get her! Panama, Panama Panama, Panama Ain't nothin' like it, her shiny machine Got the feel for the wheel, keep the moving parts clean Hot shoe, burnin' down the avenue Got an on-ramp Comin' through my bedroom Don't you know she's coming home with me? You'll lose her in the turn I'll get her! Panama, Panama Panama, Panama NA Yeah, we're runnin' a little bit hot tonight I can barely see the road from the heat comin' off of it Ah, I reach down, between my legs, ease the seat back She's blinding, I'm flying Right behind the rear-view mirror, now Got the feeling, power-steering Pistons popping, ain't no stopping now! Panama, Panama Panama, Panama Panama, Panama Panama",2004
Breakaway,Kelly Clarkson,"Grew up in a small town And when the rain would fall down I'd just stare out my window Dreaming of what could be And if I'd end up happy I would pray (I would pray) Trying hard to reach out But when I tried to speak out Felt like no one could hear me Wanted to belong here But something felt so wrong here So I prayed (I would pray) I could break away I'll spread my wings and I'll learn how to fly I'll do what it takes 'til I touch the sky And I'll make a wish, take a chance, make a change And breakaway Out of the darkness and into the sun But I won't forget all the ones that I love I'll take a risk, take a chance, make a change And breakaway Wanna feel the warm breeze Sleep under a palm tree Feel the rush of the ocean Get onboard a fast train Travel on a jet plane, far away (I will) And breakaway I'll spread my wings and I'll learn how to fly I'll do what it takes 'til I touch the sky And I'll make a wish, take a chance, make a change And breakaway Out of the darkness and into the sun I won't forget all the ones that I love (I gotta) I'll take a risk, take a chance, make a change And breakaway Buildings with a hundred floors Swinging around revolving doors Maybe I don't know where they'll take me, but Gotta keep moving on, moving on Fly away, breakaway I'll spread my wings and I'll learn how to fly (Learn how to fly) Though it's not easy to tell you goodbye I gotta take a risk, take a chance, make a change And breakaway Out of the darkness and into the sun But I won't forget of the place I come from I gotta take a risk, take a chance, make a change And breakaway Breakaway Breakaway",2004
As the Music Plays the Band,Bamboo,On the radio DJ plays a song Thank you sir For the music Listen night and day To all the bands that play Music Great music 1 2 3 4 5 6 7 8 9 10 Back in 1993 I knew what I would be As the music plays the band The songs play the music As the music plays the band The songs play the music Wrote this song For all of you Out there With its catchy melody And simple harmonies Let the music take control Let the music take your soul Everybody sing this song with me,2004
Masaya,Bamboo,Ako'y malungkot nanaman Amoy chico na ako Ilang tagay na hindi pa rin tulog Tanong ko lang sa langit Kung bakit pumangit Nung dating masaya Ngayo'y panay problemang Bumabalot sa buto Bakit ganito Ang pag-ibig Ganyan talaga Pagbago pa ang pag-ibig Ganyan talaga Masaya Pagkagising ko Nakita ko si juan Na syang adik Sa aming lugar Parang droga daw ang bisa Na ginagamit niya kanina Sa una lang daw Masarap Ang pag-ibig Ganyan talaga Pagbago pa ang pag-ibig Ganyan talaga Masaya Ang pag-ibig Ganyan talaga Pagbago pa ang pag-ibig Ganyan talaga Masaya,2004
Harana,Parokya Ni Edgar,"Uso pa ba ang harana Marahil ikaw ay nagtataka Sino ba 'tong mukhang gago Nagkandarapa sa pagkanta At nasisintunado sa kaba Mayron pang dalang mga rosas Suot nama'y maong na kupas At nariyan pa ang barkada Naka-porma, naka-barong Sa awiting daig pa ang minus one At sing-along Puno ang langit ng bituin At 'kay lamig pa ng hangin Sa 'yong tingin ako'y nababaliw, giliw At sa awitin 'kong ito Sana'y maibigan mo Binubuhos ko ang buong puso ko Sa isang munting harana Para sa'yo Hindi ba parang isang sine Isang pelikulang romantiko Hindi ba't ikaw ang bidang artista At ako ang 'yong leading man Sa istoryang nagwawakas Sa pag-ibig na wagas Puno ang langit ng bituin At 'kay lamig pa ng hangin Sa 'yong tingin ako'y nababaliw, giliw At sa awitin 'kong ito Sana'y maibigan mo Ibubuhos ko ang buong puso ko Sa isang munting harana Para sa'yo",2004
Take Me In Your Arms,Lil Suzy,"You came and turned and looked my way What else can I say Love was in my eyes You came and made my life complete With your love so sweet You gave your love to me (You gave your love to me) Take me, take me in your arms And don't you let me go I need you more and more (I need you more and more) Your love is all ever need You're my destiny This love was meant to be We'll find a paradise for two A place for me and you With our love so true We'll make our dreams come true (We'll make our dreams come true) Take me Take me in your arms And don't you let me go I need you more and more (I need you more and more) Take me, take me in your arms And don't you let me go I need you more and more (I need you more and more)",2004
Ordinary People,John Legend,"Oh, oh, oh, oh Girl, I'm in love with you But this ain't the honeymoon We're passed the infatuation phase We're right in the thick of love At times we get sick of love It seems like we argue every day I know I misbehaved And you made your mistakes And we've both still got room left to grow And though love sometimes hurts I still put you first And we'll make this thing work But I think we should take it slow We're just ordinary people We don't know which way to go'Cause we're ordinary people Maybe we should take it slow Take it slow, oh-oh, this time we'll take it slow Take it slow, oh-oh, this time we'll take it slow This ain't a movie, no No fairytale conclusion y'all It gets more confusing every day, oh Sometimes it's Heaven sent Then we head back to Hell again We kiss, then we make up on the way I hang up, you call We rise and we fall And we feel like just walking away As our love advances We take second chances Though it's not a fantasy I still want you to stay We're just ordinary people We don't know which way to go'Cause we're ordinary people Maybe we should take it slow Take it slow, oh-oh, this time we'll take it slow Take it slow, oh-oh, yeah, this time we'll take it slow Take it slow Maybe we'll live and learn Maybe we'll crash and burn Maybe you'll stay Maybe you'll leave Maybe you'll return Maybe another fight Maybe we won't survive Maybe we'll grow We'll never know Baby, you and I We're just ordinary people We don't know which way to go, yeah, hey'Cause we're ordinary people Maybe we should take it slow, hey, hey We're just ordinary people We don't know which way to go, yeah 'Cause we're ordinary people Maybe we should take it slow Take it slow, oh-oh, this time we'll take it slow Take it slow, oh-oh, this time we'll take it slow Take it slow, slow This time we'll take it slow Take it slow, oh This time we'll take it slow",2004
Saoco,Wisin,"El Sobreviviente (El Sobreviviente)(Papi, dame uno) Daddy Yankee (Daddy Yankee) Yankee(Papi, dame uno) La gata está pidiendo que le funda el foco(Saoco, papi, saoco) Ella se lame si con limón la toco(Saoco, papi, saoco) La gata está buscando que le funda el foco(Saoco, papi, saoco) Ella se lame si con limón la toco(Saoco, papi, saoco)(Aja, ¿que?) Dale mas, shorty Y activa a to' el cori' (Papi, ¿quien tu eres?) Daddy-Daddy, money-money El flow mas killer El rompe bocina El sazón pa'l dembow Yankee Man lo cocina Boom, boom Suena el sabor pa' las nenas Locas que le suelten la crema de avena Ella esta conciente, que rumba en la vena Sabe que Yankee Man lo suena, W Mami, ven y trepate en mi caballito ¿Quien tu eres?(Tu bizcochito) Es que de ese limber yo quiero un cantito ¿Quien tu eres?(Tu bizcochito) Mami, ven y trepate en mi caballito ¿Quien tu eres?(Tu bizcochito) Es que de ese limber yo quiero un cantito ¿Quien tu eres?(Tu bizcochito) La gata está buscando que le funda el foco(Saoco, papi, saoco) Ella se lame si con limón la toco(Saoco, papi, saoco) La gata está pidiendo que le funda el foco(Saoco, papi, saoco) Ella se lame si con limón la toco(Saoco, papi, saoco)(¿Que?) Precisamente te estaba llamando pa' perriar Hoy yo te voy a anesteziar Hoy te voy a machuquear Y si te portas, mami, yo te voy a dar Tra, tra, es cuestión de bacilar Tra, tra, es cuestión de fumar Tra, bailando yo te voy a besar Y el combo esta activao' por si hay que rebulear Mami, ven y trepate en mi caballito ¿Quien tu eres?(Tu bizcochito) Es que de ese limber yo quiero un cantito ¿Quien tu eres?(Tu bizcochito) Mami, ven y trepate en mi caballito ¿Quien tu eres?(Tu bizcochito) Es que de ese limber yo quiero un cantito ¿Quien tu eres?(Tu bizcochito) La gata está pidiendo que le funda el foco(Saoco, papi, saoco) Ella se lame si con limón la toco(Saoco, papi, saoco) La gata está buscando que le funda el foco(Saoco, papi, saoco) Ella se lame si con limón la toco(Saoco, papi, saoco) Yo (Dementes) Enviando (Dementes) Con El Sobreviviente Junto a (Daddy Yankee, Daddy Yankee Yo) Esta combinación es como el arróz y habichuela, respeta, oistes (Respeta) Barrio Fino coming soon (Coming soon) Diferente Da-Ddy Yan-Kee (""El Sobreviviente""!) Sobreviviendo (Dementes) (Urba, Fido, Monserrate!) Urba, Monserrate suave, 2004, pa' ustedes",2004
1985,Bowling For Soup,"Debbie just hit the wall, she never had it all One Prozac a day, husband's a CPAHer dreams went out the door when she turned 24 Only been with one man, what happened to her plan? She was gonna be an actress, she was gonna be a star She was gonna shake her ass on the hood of Whitesnake's car Her yellow SUV is now the enemy Looks at her average life, and nothing has been alright Since Bruce Springsteen, Madonna Way before Nirvana There was U2 and BlondieAnd music still on MTVHer two kids in high school They tell her that she's uncool Cause she's still preoccupied With 19, 19, 1985 She's seen all the classics, she knows every line Breakfast Club, Pretty in Pink, even Saint Elmo's Fire She rocked out to Wham, not a big Limp Bizkit fan Thought she'd get a hand on a member of Duran Duran Where's the mini-skirt made of snake skin? And who's the other guy that's singing in Van Halen? When did reality become TV? Whatever happened to sitcoms, game shows? On the radio was Springsteen, Madonna Way before Nirvana There was U2 and BlondieAnd music still on MTVHer two kids in high school They tell her that she's uncool Cause she's still preoccupied With 19, 19, 1985 She hates time, make it stop When did Mötley Crüe become classic rock? And when did Ozzy become an actor? Please make this stop, stop, stop And bring back Springsteen, Madonna Way before Nirvana There was U2 and BlondieAnd music still on MTVHer two kids in high school They tell her that she's uncool Cause she's still preoccupied With 19, 19, 1985 Bruce Springsteen, Madonna Way before Nirvana There was U2 and BlondieAnd music still on MTVHer two kids in high school They tell her that she's uncool Cause she's still preoccupied With 19, 19, 1985",2004
Duality,Slipknot,"I push my fingers into my eyes It's the only thing that slowly stops the ache But it's made of all the things I have to take Jesus, it never ends, it works its way inside If the pain goes on I have screamed until my veins collapsed I've waited as my time's elapsed Now all I do is live with so much fate I've wished for this, I've bitched at that I've left behind this little fact You cannot kill what you did not create I've gotta say what I've gotta say And then I swear I'll go away But I can't promise you'll enjoy the noise I guess I'll save the best for last My future seems like one big past You're left with me 'cause you left me no choice I push my fingers into my eyes It's the only thing that slowly stops the ache If the pain goes on, I'm not gonna make it Put me back together or separate the skin from bone Leave me all the pieces, then you can leave me alone Tell me the reality is better than the dream But I found out the hard way, nothing is what it seems I push my fingers into my eyes It's the only thing that slowly stops the ache But it's made of all the things I have to take Jesus, it never ends, it works its way inside If the pain goes on, I'm not gonna make it All I've got, all I've got is insane All I've got, all I've got is insane All I've got, all I've got is insane All I've got, all I've got is insane All I've got, all I've got is insane All I've got, all I've got is insane I push my fingers into my eyes It's the only thing that slowly stops the ache But it's made of all the things I have to take Jesus, it never ends, it works its way inside If the pain goes on, I'm not gonna make it All I've got, all I've got is insane All I've got, all I've got is insane All I've got, all I've got is insane All I've got, all I've got is insane All I've got, all I've got is insane",2004
Back on the Road Again,REO Speedwagon,"Please don't hate me mama for what I'm about to do But the good times we've had together are just about now through Please don't misunderstand me, I hate to see you cry But I think that it might look better if I told you now goodbye I'm back on the road again, it's time I leave you now And maybe I'll see you next time, that I'm around Until then I hope your happy baby and good times come your way I'm back on the road again, I'm on my way Well I've loved you since the day I met you and I'll love you till the day I die But we both know the life I'm livin and we both know the reason why That I've got to leave ya mama and I've got to leave today But you know that I'll see you next time that I come through your town to play I'm back on the road again, it's time I leave you now And maybe I'll see you next time, that I'm around Until then I hope your happy baby and good times come your way I'm back on the road again, I'm on my way Oh, bye-bye baby I'm back on the road again, it's time I leave you now And maybe I'll see you next time, that I'm around Until then I hope your happy baby and good times come your way I'm back on the road again, I'm on my way",2004
